slug,name,category_hint,confidence,proposed_tags,show_categories,music_subgenres,audience_vibe,attraction_tags,reasoning,elapsed_s,validation_warnings,proposed_tags adjustments
adventure-seekers,Adventure Seekers,attraction,0.4,"adult-humor,date-night,outdoor,active,thrill,all-day",,,"adult-humor,date-night","outdoor,active,thrill,all-day","The description is sparse, but the duration suggests an outdoor activity.",6.9,,
parakeet-pete-s,Parakeet Pete's,attraction,0.4,"family,indoor,educational,animals,under-1hr",,,family,"indoor,educational,animals,under-1hr","The description is sparse, but it's likely an indoor attraction focused on educational and animal-related activities.",6.8,,
retromania,Retromania,attraction,0.4,"all-day,outdoor,active,educational,thrill,under-1hr",,,all-day,"outdoor,active,educational,thrill,under-1hr","Limited description does not specify type or vibe, but suggests a general attraction.",6.8,audience_vibe: unknown tag 'all-day',-all-day
copperhead-mountain-coaster,Copperhead Mountain Coaster,attraction,0.6,"date-night,family,indoor,ride,thrill,under-1hr",,,"date-night,family","indoor,ride,thrill,under-1hr","The description indicates it is a ride with thrill elements, but the indoor tag may be incorrect as mountain coasters are typically outdoor.",7.9,,-indoor
ozark-hills-winery-wine-tasting,Ozark Hills Winery Wine Tasting,attraction,0.6,"adult-humor,indoor,relaxed,food,all-day",,,adult-humor,"indoor,relaxed,food,all-day",Wine tasting is typically an adult-oriented activity.,6.1,,-adult-humor
ozarks-aglow-nighttime-walk,Ozarks Aglow Nighttime Walk,attraction,0.6,"family,outdoor,educational,all-day",,,family,"outdoor,educational,all-day","The description suggests a family-friendly outdoor walk, likely educational in nature.",6.1,,-all-day
shepherd-of-the-hills-north-pole-adventure,Shepherd of the Hills - North Pole Adventure,attraction,0.6,"family,outdoor,educational,all-day",,,family,"outdoor,educational,all-day",The description suggests an outdoor attraction with a family-friendly vibe.,5.8,,-all-day
silver-dollar-city,Silver Dollar City,attraction,0.6,"family,date-night,indoor,outdoor,ride,active,thrill,all-day",,,"family,date-night","indoor,outdoor,ride,active,thrill,all-day",Silver Dollar City is a well-known theme park with rides and attractions suitable for families and couples.,7.4,,
six,SIX,show,0.6,"music,variety,adult-humor,date-night,indoor,active,educational,all-day","music,variety",,"adult-humor,date-night","indoor,active,educational,all-day","SIX is likely a music-based show with variety elements, suitable for adults.",7.1,,"-educational,-all-day,-active"
where-jesus-walked-immersive,Where Jesus Walked Immersive,show,0.6,"variety,adult-humor,date-night,indoor,educational,relaxed",variety,,"adult-humor,date-night","indoor,educational,relaxed","The show seems to offer an immersive experience with a focus on education and relaxation, likely appealing to adults.",7.3,,"-adult-humor,religious"
a-shepherd-s-christmas-carol,A Shepherd’s Christmas Carol,show,0.7,"variety,family,date-night,indoor,1-2hr,educational",variety,,"family,date-night","indoor,1-2hr,educational","The show is described as a Christmas Carol variant, likely family-friendly and indoor with a variety of entertainment.",6.9,,
americana-new-year-s-eve-show,Americana New Year’s Eve Show,show,0.7,"variety,adult-humor,date-night,indoor,1-2hr",variety,,"adult-humor,date-night","indoor,1-2hr","The show is described as Branson's BIGGEST New Year's Eve event, suggesting a variety of acts and an adult-oriented audience.",7.5,,
anthems-of-rock,Anthems of Rock,show,0.7,"music,tribute,rock,oldies-80s,adult-humor,date-night,indoor,active,all-day","music,tribute","rock,oldies-80s","adult-humor,date-night","indoor,active,all-day",The show features rock music from the 80s and is likely to have an adult-oriented audience.,8.0,,"-active,-all-day"
bohemian-queen,Bohemian Queen,show,0.7,"variety,adult-humor,date-night,indoor,1-2hr",variety,,"adult-humor,date-night","indoor,1-2hr",The description suggests a theatrical show with an adult-oriented vibe.,6.7,,music
branson-dinosaur-museum,Branson Dinosaur Museum,attraction,0.7,"family,indoor,educational,animals,all-day",,,family,"indoor,educational,animals,all-day","The description suggests it is an indoor attraction focused on dinosaurs, suitable for families.",6.4,,history
branson-duck-tours,Branson Duck Tours,attraction,0.7,"family,date-night,indoor,outdoor,ride,active,all-day,1-2hr",,,"family,date-night","indoor,outdoor,ride,active,all-day,1-2hr","Duck tours typically involve both land and water rides, suitable for families and couples.",7.6,,-indoor
branson-hills-golf-club,Branson Hills Golf Club,attraction,0.7,"adult-humor,outdoor,active,all-day,half-day",,,adult-humor,"outdoor,active,all-day,half-day",Inferred as a golf club attraction based on name and duration.,6.3,,-adult-humor
branson-s-famous-baldknobbers,Branson’s Famous Baldknobbers,show,0.7,"music,variety,family,date-night,indoor,1-2hr,all-day","music,variety",,"family,date-night","indoor,1-2hr,all-day","The show has been running for over 50 years and is likely a variety show with music, suitable for families and dates.",7.6,,-all-day
branson-scenic-railway,Branson Scenic Railway,attraction,0.7,"family,indoor,ride,relaxed,half-day",,,family,"indoor,ride,relaxed,half-day","The description suggests a scenic railway ride, likely suitable for families and relaxing.",6.4,,
broadway-to-buble-starring-george-dyer,Broadway to Buble starring George Dyer,show,0.7,"music,tribute,oldies-50s,oldies-60s,oldies-70s,pop,adult-humor,date-night,indoor,relaxed,all-day","music,tribute","oldies-50s,oldies-60s,oldies-70s,pop","adult-humor,date-night","indoor,relaxed,all-day","The show is a tribute performance with music from various decades, suitable for adults.",9.2,,
dolly-partons-stampede,Dolly Parton's Stampede,show,0.7,"variety,country,rock,family,date-night,indoor,active,food,all-day,1-2hr",variety,"country,rock","family,date-night","indoor,active,food,all-day,1-2hr","Dolly Parton's Stampede is a variety show with country and rock music, suitable for families and dates.",8.2,,-all-day
dublin-s-irish-tenors-the-celtic-ladies,Dublin's Irish Tenors & The Celtic Ladies,show,0.7,"music,tribute,classical,adult-humor,date-night,indoor,relaxed,1-2hr","music,tribute",classical,"adult-humor,date-night","indoor,relaxed,1-2hr","The show features classical music with an Irish twist, performed in a theater setting.",7.2,,
george-jones-haggard-friends,"George Jones, Haggard & Friends",show,0.7,"tribute,country,oldies-70s,oldies-80s,adult-humor,date-night,indoor,1-2hr",tribute,"country,oldies-70s,oldies-80s","adult-humor,date-night","indoor,1-2hr","The show is a tribute to country music legends, implying a focus on country and oldies subgenres.",8.4,,
golden-sounds-of-the-platters,Golden Sounds of the Platters,show,0.7,"music,oldies-50s,oldies-60s,family,date-night,indoor,relaxed,all-day",music,"oldies-50s,oldies-60s","family,date-night","indoor,relaxed,all-day","The show title and description suggest a music performance with oldies from the 50s and 60s, suitable for family and date night audiences.",9.0,,
grand-jubilee,Grand Jubilee,family,0.7,"variety,family,indoor,1-2hr",variety,,family,"indoor,1-2hr",The show is described as a family-friendly variety show with a duration of about 2 hours.,6.0,,music
hamners-all-american-new-year-s-eve-celebration,Hamners’ All American New Year’s Eve Celebration,show,0.7,"variety,adult-humor,date-night,indoor,1-2hr",variety,,"adult-humor,date-night","indoor,1-2hr","The event is a New Year's Eve celebration, likely featuring variety acts and adult-oriented humor.",6.9,,
