slug,name,category_hint,confidence,proposed_tags,show_categories,music_subgenres,audience_vibe,attraction_tags,reasoning,elapsed_s,validation_warnings,agrees_with_teaching
1-hits-of-the-60s-and-50s-too,#1 Hits of the 60s (and 50s Too!),family,0.95,"music,variety,oldies-50s,oldies-60s,family,indoor,active,1-2hr","music,variety","oldies-50s,oldies-60s",family,"indoor,active,1-2hr",Interactive 50s/60s music show with games and costume changes clearly fits music/variety with family audience and 2-hour indoor duration.,3.6,,yes
a-garth-tribute,A Garth Tribute,show,0.88,"music,tribute,country,family,date-night,indoor,1-2hr","music,tribute",country,"family,date-night","indoor,1-2hr","A Garth tribute show clearly features country music in tribute format, likely appealing to families and couples, with a 2-hour duration placing it in the 1-2hr bracket.",3.4,,
a-neil-diamond-tribute-ft-keith-allynn,A Neil Diamond Tribute ft. Keith Allynn,show,0.82,"music,tribute,pop,oldies-70s,family,date-night,indoor,relaxed,1-2hr","music,tribute","pop,oldies-70s","family,date-night","indoor,relaxed,1-2hr","Neil Diamond is a classic pop/70s artist, so tribute show tags are clear; family and date-night are reasonable assumptions for a tribute concert format with a 2-hour duration.",3.4,,
a-shepherd-s-christmas-carol,A Shepherd’s Christmas Carol,show,0.65,"variety,music,gospel,country,family,religious,indoor,food,relaxed,1-2hr","variety,music","gospel,country","family,religious","indoor,food,relaxed,1-2hr","A Christmas Carol dinner show at Shepherd of the Hills suggests a variety/music show with religious themes, family-friendly, with a full-course meal included, running approximately 2 hours.",2.9,,
aaron-wayne-comedy-hypnosis-show,Aaron Wayne Comedy Hypnosis Show,show,0.82,"comedy,adult-humor,date-night,family,indoor,relaxed,1-2hr",comedy,,"adult-humor,date-night,family","indoor,relaxed,1-2hr","Comedy hypnosis show clearly fits comedy category with adult-humor and date-night appeal, 2-hour duration maps to 1-2hr, and indoor is standard for Branson shows.",2.9,,
abby-lee-miller-live-at-the-top-of-the-pyramid,Abby Lee Miller: Live At The Top Of The Pyramid,show,0.6,"variety,adult-humor,date-night,family,indoor,1-2hr",variety,,"adult-humor,date-night,family","indoor,1-2hr","Abby Lee Miller is known from Dance Moms as a dance instructor/personality, so this is likely a live variety/comedy show with broad appeal, running approximately 2 hours indoors.",3.5,,
absolutely-country-definitely-gospel,"Absolutely Country, Definitely Gospel",family,0.88,"music,country,gospel,family,religious,indoor,relaxed,1-2hr",music,"country,gospel","family,religious","indoor,relaxed,1-2hr","The title clearly indicates a country and gospel music show, family category is confirmed, and the 2-hour duration maps to 1-2hr tag.",2.8,,
america-s-top-country-hits,America's Top Country Hits,family,0.85,"music,country,family,indoor,1-2hr",music,country,family,"indoor,1-2hr",The name and category clearly indicate a country music show suitable for families with a 2-hour duration.,3.1,,
americana-new-year-s-eve-show,Americana New Year’s Eve Show,show,0.6,"music,variety,country,oldies-50s,oldies-60s,oldies-70s,oldies-80s,family,date-night,indoor,1-2hr","music,variety","country,oldies-50s,oldies-60s,oldies-70s,oldies-80s","family,date-night","indoor,1-2hr","An Americana-themed New Year's Eve show in Branson likely features patriotic and classic American music with variety elements, suitable for families and couples, running approximately 2 hours indoors.",2.7,,
anthems-of-rock,Anthems of Rock,show,0.85,"music,tribute,rock,oldies-80s,adult-humor,date-night,indoor,1-2hr","music,tribute","rock,oldies-80s","adult-humor,date-night","indoor,1-2hr","Rock tribute show featuring classic rock artists from the 70s-80s era, likely appealing to adults and date-night crowds at an indoor theatre.",3.0,,no
awesome-80-s,Awesome 80's,show,0.8,"music,tribute,oldies-80s,rock,pop,family,date-night,indoor,1-2hr","music,tribute","oldies-80s,rock,pop","family,date-night","indoor,1-2hr","An '80s tribute show strongly implies rock and pop music from that decade, suitable for families and date nights, with a 2-hour indoor performance.",2.7,,
back-to-country-with-mark-aldred,Back To Country With Mark Aldred,show,0.82,"music,tribute,country,family,date-night,indoor,1-2hr","music,tribute",country,"family,date-night","indoor,1-2hr","The name and category clearly indicate a country music tribute show with a 2-hour duration, likely family and date-night friendly based on typical Branson country show audiences.",2.7,,
back-to-the-bee-gees,Back To The Bee Gees,show,0.82,"music,tribute,pop,oldies-70s,oldies-80s,family,date-night,indoor,relaxed,1-2hr","music,tribute","pop,oldies-70s,oldies-80s","family,date-night","indoor,relaxed,1-2hr","Back To The Bee Gees is clearly a tribute show celebrating the Bee Gees' career spanning the 70s and 80s pop/disco era, with a 2-hour duration and broad family/date-night appeal.",3.2,,
